2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:39:52 | CRITICAL | secvuln-agent | main:378 | Fatal error: Device at row 18 missing required field: device_id
Traceback (most recent call last):
  File "C:\Projects\secvuln-agent\src\main.py", line 366, in main
    agent = SecVulnAgent()
            ^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\main.py", line 50, in __init__
    self.devices = self.config_loader.load_devices()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 113, in load_devices
    self._validate_devices()
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 132, in _validate_devices
    raise ValueError(
ValueError: Device at row 18 missing required field: device_id
2025-10-16 00:40:39 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:40:39 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:40:39 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:40:42 | INFO     | secvuln-agent | _initialize_collectors:113 | Initialized 5 collectors
2025-10-16 00:40:42 | INFO     | secvuln-agent | __init__:75 | Agent 'SecVuln-Agent' initialized
2025-10-16 00:40:42 | INFO     | secvuln-agent | __init__:76 | Check interval: 1 hours
2025-10-16 00:40:42 | INFO     | secvuln-agent | __init__:77 | Devices loaded: 17
2025-10-16 00:40:42 | INFO     | secvuln-agent | __init__:78 | Collectors configured: 5
2025-10-16 00:40:42 | INFO     | secvuln-agent | start:333 | Starting SecVuln Agent with 1h interval
2025-10-16 00:40:42 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 00:40:42.856843
2025-10-16 00:40:42 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 00:40:44 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 1442 CVEs from CISA KEV
2025-10-16 00:40:46 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 00:40:49 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 100 CVEs from GitHub Advisories
2025-10-16 00:40:51 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 00:40:54 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 00:40:56 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 00:41:02 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 77 CVEs from RSS Feeds
2025-10-16 00:41:04 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 00:43:12 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 517 CVEs from NVD
2025-10-16 00:43:14 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 2043
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62410: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62375: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62381: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62380: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62251: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-59419: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-55039: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-34267: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE GHSA-hrhf-2vcr-ghch: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62366: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62172: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-36852: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62157: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 00:45:26 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 1664 vulnerabilities
2025-10-16 00:46:08 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1664, 'unnotified_cves': 0, 'by_severity': {'LOW': 1664}, 'cisa_kev_count': 1442, 'new_last_24h': 1664}
2025-10-16 00:46:08 | INFO     | secvuln-agent | start:341 | Agent running. Press Ctrl+C to stop.
2025-10-16 01:57:40 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 01:57:40.971098
2025-10-16 01:57:41 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 01:57:42 | ERROR    | secvuln-agent | collect_vulnerabilities:170 | Failed to collect from CISA KEV: HTTPSConnectionPool(host='www.cisa.gov', port=443): Max retries exceeded with url: /sites/default/files/feeds/known_exploited_vulnerabilities.json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001C2651C0C20>: Failed to resolve 'www.cisa.gov' ([Errno 11001] getaddrinfo failed)"))
2025-10-16 01:57:42 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 01:57:43 | ERROR    | secvuln-agent | collect_vulnerabilities:170 | Failed to collect from GitHub Advisories: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /advisories?per_page=100&sort=updated&direction=desc&updated=%3E%3D2025-10-16 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001C2651C1970>: Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)"))
2025-10-16 01:57:43 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 01:57:44 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 07:19:26 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 07:19:36 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
2025-10-16 07:19:38 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 07:19:50 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 4 CVEs from NVD
2025-10-16 07:19:52 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 4
2025-10-16 07:19:52 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 2 vulnerabilities
2025-10-16 07:19:58 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1666, 'unnotified_cves': 0, 'by_severity': {'LOW': 1666}, 'cisa_kev_count': 1442, 'new_last_24h': 1666}
2025-10-16 08:40:10 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 08:40:10.662937
2025-10-16 08:40:10 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 08:40:22 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 08:40:24 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 08:40:26 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 4 CVEs from GitHub Advisories
2025-10-16 08:40:28 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 08:40:32 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 08:40:34 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 08:40:41 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
2025-10-16 08:40:43 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 08:40:52 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from NVD
2025-10-16 08:40:54 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 4
2025-10-16 08:40:54 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-11683: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 08:40:54 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 0 vulnerabilities
2025-10-16 08:40:54 | INFO     | secvuln-agent | send_notifications:260 | No new vulnerabilities to notify
2025-10-16 08:40:54 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1666, 'unnotified_cves': 0, 'by_severity': {'LOW': 1666}, 'cisa_kev_count': 1442, 'new_last_24h': 1666}
2025-10-16 09:56:29 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 09:56:29.489919
2025-10-16 09:56:29 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
